Date,open,high,low,close,volume,prevclose,pct_change_in_close,fed_rate,prev_fed_rate,pct_change_in_fed_rate,5_yr,7_yr,10_yr,20_yr,30_yr,prev_10_yr,pct_change_in_10_yr,label
2016-11-16,217.5600,218.1400,217.4200,217.87,65617700,218.28,-0.18783214220267389,0.41,0.41,0.0,0.02,0.2,0.39,0.75,0.92,0.41,-5.128205128205118,-2
2016-11-17,218.0500,219.0600,217.9200,218.99,69797200,217.87,0.5140680222150844,0.41,0.41,0.0,0.02,0.21,0.42,0.8,0.96,0.39,7.142857142857137,2
2016-11-18,219.0700,219.2700,218.2900,218.5,86265800,218.99,-0.2237545093383301,0.41,0.41,0.0,0.06,0.24,0.44,0.79,0.94,0.42,4.545454545454549,0
2016-11-21,219.1700,220.1800,219.0000,220.15,72402600,218.5,0.755148741418767,0.41,0.41,0.0,0.05,0.23,0.42,0.75,0.92,0.44,-4.761904761904766,0
2016-11-22,220.5100,220.7900,219.7300,220.58,67429000,220.15,0.19532137179196313,0.41,0.41,0.0,0.02,0.21,0.41,0.76,0.93,0.42,-2.4390243902439046,0
2016-11-23,219.9800,220.7600,219.7500,220.7,56620200,220.58,0.054402031009146846,0.41,0.41,0.0,0.09,0.26,0.44,0.77,0.93,0.41,6.818181818181825,2
2016-11-25,221.1000,221.5600,221.0100,221.52,37872300,220.7,0.37154508382420554,0.41,0.41,0.0,0.09,0.26,0.47,0.8,0.93,0.44,6.382978723404249,2
2016-11-28,221.1600,221.4800,220.3600,220.48,76572500,221.52,-0.4694835680751266,0.41,0.41,0.0,0.11,0.28,0.47,0.8,0.95,0.47,0.0,0
2016-11-29,220.5200,221.4400,220.1700,220.91,69886700,220.48,0.1950290275762005,0.41,0.41,0.0,0.09,0.27,0.44,0.76,0.92,0.47,-6.818181818181812,0
2016-11-30,221.6300,221.8200,220.3100,220.38,113291800,220.91,-0.23991670816169536,0.31,0.41,-32.258064516129025,0.06,0.25,0.43,0.75,0.91,0.44,-2.325581395348839,-3
2016-12-01,220.7300,220.7300,219.1500,219.57,79040500,220.38,-0.36754696433433265,0.41,0.31,24.39024390243902,0.09,0.28,0.48,0.81,0.95,0.43,10.416666666666664,1
2016-12-02,219.6700,220.2500,219.2600,219.68,74840300,219.57,0.050097918659203745,0.41,0.41,0.0,0.08,0.28,0.49,0.82,0.98,0.48,2.040816326530614,2
2016-12-05,220.6500,221.4000,220.4200,221.0,67837800,219.68,0.6008739985433326,0.41,0.41,0.0,0.05,0.25,0.45,0.78,0.94,0.49,-8.888888888888884,0
